stress_q1,stress_q2,stress_q3,stress_q4,stress_q5,scws,income,investment,gcse_min,parent_gender
7,8,7,8,7,34,9.68200586766201,3.7579223123632035,0,Woman
-0,1,1,0,1,49,22.853723486039904,6.873319498018341,0,Man
10,9,7,10,10,35,3.7930020868326366,3.3379665529134726,1,Man
5,5,4,7,4,52,20.660389299315206,10.039402950689105,1,Woman
3,3,6,3,5,48,18.39923505365914,8.813225995081094,0,Man
5,9,10,7,2,39,15.659497768465998,4.81316703463619,0,Man
0,1,3,0,-0,52,18.611118132480122,7.8485777091656,0,Man
8,3,4,8,4,41,10.402819772391105,4.492233652775436,0,Man
9,6,5,7,8,37,11.931795684090936,6.523325253519684,1,Man
4,5,5,4,5,47,12.480861841530025,6.485191841794791,1,Woman
6,5,7,8,6,31,7.8682336869468,2.2945251846778874,0,Woman
7,4,3,7,6,42,12.378459260113397,5.2443159046487136,1,Woman
5,8,4,6,6,47,14.72077208024615,10.474212337747952,1,Woman
0,4,1,0,1,48,26.08916821139252,11.279743917391611,1,Woman
4,6,4,3,3,49,18.18901595304869,9.258206545337995,1,Woman
8,10,10,6,6,41,11.34964626618692,4.564642567666792,0,Woman
8,9,8,10,7,34,11.306346589917027,3.921772347458335,0,Woman
7,7,-0,7,8,49,12.510220006965055,8.641881810599585,1,Woman
1,0,0,1,2,47,23.246717131114245,10.883481292462701,1,Woman
7,9,7,8,6,41,13.423738347088907,8.749986695653668,1,Woman
6,6,4,2,5,35,15.877213737575486,6.842662799024453,0,Woman
7,4,9,5,5,52,20.464165489832048,10.97200004628216,1,Woman
4,5,6,5,7,42,17.853729690031294,6.159842098136861,0,Man
5,4,2,3,3,44,12.680264363784033,0.30366547106418285,0,Woman
2,0,2,5,3,51,15.458909621565674,9.141439612286028,1,Woman
10,8,6,9,10,43,7.806355126468738,6.485080886064537,0,Man
0,2,4,0,1,54,29.500854355873475,11.692450433979594,1,Man
4,4,4,4,5,40,8.640976481136626,3.770078726148195,0,Man
2,6,-0,-0,-0,51,24.185282506439517,7.570241631265685,1,Man
4,5,2,7,4,36,11.387093809464137,6.645779141386447,0,Man
3,2,3,3,1,48,19.127625428718012,9.883321394050865,1,Woman
3,-0,3,-0,2,49,10.216882990155097,5.177869378178395,0,Man
7,6,6,7,3,42,11.091163887874195,4.668513417529041,0,Man
5,5,5,6,3,41,12.45995483196511,6.837304957997718,1,Woman
5,9,7,3,7,46,16.2038211976053,8.008697915117239,1,Woman
8,6,7,6,8,48,12.902626762444967,8.81149569298519,1,Woman
2,2,0,1,1,49,17.05127617174993,7.377744226330842,1,Woman
5,7,5,4,4,46,13.690955521242547,9.828423934470585,1,Man
5,4,5,6,6,36,10.927772844673084,5.444011100349385,0,Man
6,4,3,5,6,43,19.598178698893378,9.808474987623004,0,Man
3,3,1,6,4,45,18.513339083127388,6.098348687206516,1,Woman
10,8,10,10,10,33,4.954178953773663,3.0743166571412006,0,Woman
3,2,5,6,2,48,13.766372226352784,5.816056657607525,1,Woman
6,3,9,4,5,40,12.419242625214638,5.998514010369714,1,Woman
2,4,0,4,3,44,20.004738270753148,7.143942572342347,1,Woman
8,7,7,7,7,34,5.7830504336728925,4.438972193975275,0,Woman
2,3,3,5,4,57,21.043436892511526,8.610221668930798,1,Woman
-0,1,2,4,1,50,16.984629170694525,6.105824631030615,1,Woman
6,5,7,8,6,41,11.601369009785321,6.2329106638019045,1,Other
6,6,7,9,7,44,21.50691012052975,11.864690162519052,1,Woman
6,7,7,4,6,40,11.51520527752308,4.953296141075629,0,Man
10,8,9,10,8,45,2.8450018968655186,3.203549265717554,1,Woman
9,7,5,6,8,46,14.253412487730472,9.512242618033369,0,Other
2,2,4,4,3,39,6.449520287221251,3.7885569318229546,1,Woman
3,0,4,5,5,37,14.323416431032376,6.825408183813481,0,Man
9,8,5,6,6,34,4.0096757518715105,3.884471336529539,0,Woman
5,5,10,4,1,48,6.312742863901896,1.8170239721598396,1,Woman
4,6,5,6,5,39,15.53556179254372,4.717126358167498,0,Man
2,2,2,5,3,33,16.03782773254572,3.904205604110059,1,Man
0,0,5,6,6,48,21.544779069155506,8.589191562996485,1,Woman
0,1,0,-0,0,53,15.2996102808539,4.793373236865912,0,Other
6,4,6,5,6,40,23.250617859567853,11.534267846382669,0,Man
5,2,0,6,6,57,19.116333682280082,7.504117143103079,1,Woman
7,7,9,6,8,47,16.02742244979559,9.859407950536834,1,Woman
1,3,4,0,1,42,10.219933418945239,1.91545055124997,0,Woman
5,2,5,3,2,51,19.678758663158092,5.2972121388941735,1,Woman
6,5,10,3,6,36,20.471212446466932,7.6251483720630535,1,Woman
3,3,5,3,3,40,18.12640329366921,8.916553062826637,1,Woman
9,6,7,5,6,39,11.428856189827803,7.282736939904964,1,Woman
6,8,7,7,7,36,19.239353716046192,8.778775250189375,1,Woman
5,6,4,3,1,54,12.291315634360386,5.585830456737599,0,Other
7,6,7,3,4,42,11.911790995779107,5.0012432121438035,1,Woman
7,6,3,3,4,43,7.901055760671209,5.406882452204615,1,Woman
9,10,10,10,9,38,13.97378105195514,6.887565218148115,1,Woman
3,3,2,5,4,47,5.582647856077529,2.9368755841413865,1,Woman
6,10,4,7,6,38,16.91714554601063,9.137286226013583,1,Woman
-0,4,3,3,2,50,15.726159560281893,6.407956414897575,0,Man
1,1,7,2,1,41,21.589710814820542,7.387444348289876,0,Man
7,5,6,6,5,34,10.26556200790857,5.196881333112554,1,Woman
8,6,7,5,10,42,11.775162734955234,4.26189297419391,0,Other
2,-0,1,3,3,47,21.99792188723434,10.559786221244735,0,Man
-0,-0,4,0,-0,58,26.357759803955844,12.779444116181185,1,Man
-0,0,0,4,0,45,19.07773213212828,7.197301899149954,0,Man
5,8,6,6,6,38,11.601329144872468,5.0482964605345915,0,Woman
7,6,6,5,5,54,14.972147419364815,7.123959942784476,1,Woman
5,4,6,5,6,48,17.16737526392578,7.471074509905214,1,Woman
6,6,7,8,7,43,23.696292990958803,10.131769466636689,1,Woman
7,8,7,10,9,29,11.136227382003657,4.400021812635131,0,Woman
1,5,7,2,3,58,25.305473169646095,12.544980453462763,1,Woman
6,5,5,3,6,47,14.849997186075415,8.557381320252112,1,Woman
5,6,6,6,5,39,10.240619129143871,6.0117514588087735,0,Man
7,7,7,6,7,38,15.302919125156642,7.914130576240791,0,Other
2,1,3,2,1,50,23.165121024053065,8.006587049173737,0,Man
3,4,0,7,4,44,17.672937030012278,8.853483553182535,1,Woman
8,5,10,5,7,33,4.037539884870101,5.362412976990832,0,Woman
4,5,5,6,6,46,17.591813990832513,6.0377648441048795,1,Woman
7,10,8,10,9,49,15.047561637682305,11.10485552555002,1,Woman
7,6,7,6,8,38,5.527468574303883,3.897192418493598,0,Woman
9,6,9,5,9,34,-1.3703889235179147,0.3667443069247103,0,Woman
10,10,9,10,7,36,10.136720814277798,8.04755582247034,1,Woman
3,0,5,3,1,44,20.589546291953543,10.28166735965408,1,Woman
