stress_q1,stress_q2,stress_q3,stress_q4,stress_q5,scws,income,investment,country,std_income,std_investment
7,8,7,8,7,34,9.68200586766201,3.7579223123632035,Country A,NA,NA
-0,1,1,0,1,49,22.853723486039904,6.873319498018341,Country A,NA,NA
10,9,7,10,10,35,3.7930020868326366,3.3379665529134726,Country A,NA,NA
5,5,4,7,4,52,20.660389299315206,10.039402950689105,Country A,NA,NA
3,3,6,3,5,48,18.39923505365914,8.813225995081094,Country A,NA,NA
5,9,10,7,2,39,15.659497768465998,4.81316703463619,Country A,NA,NA
0,1,3,0,-0,52,18.611118132480122,7.8485777091656,Country A,NA,NA
8,3,4,8,4,41,10.402819772391105,4.492233652775436,Country A,NA,NA
9,6,5,7,8,37,11.931795684090936,6.523325253519684,Country A,NA,NA
4,5,5,4,5,47,12.480861841530025,6.485191841794791,Country A,NA,NA
6,5,7,8,6,31,7.8682336869468,2.2945251846778874,Country A,NA,NA
7,4,3,7,6,42,12.378459260113397,5.2443159046487136,Country A,NA,NA
5,8,4,6,6,47,14.72077208024615,10.474212337747952,Country A,NA,NA
0,4,1,0,1,48,26.08916821139252,11.279743917391611,Country A,NA,NA
4,6,4,3,3,49,18.18901595304869,9.258206545337995,Country A,NA,NA
8,10,10,6,6,41,11.34964626618692,4.564642567666792,Country A,NA,NA
8,9,8,10,7,34,11.306346589917027,3.921772347458335,Country A,NA,NA
7,7,-0,7,8,49,12.510220006965055,8.641881810599585,Country A,NA,NA
1,0,0,1,2,47,23.246717131114245,10.883481292462701,Country A,NA,NA
7,9,7,8,6,41,13.423738347088907,8.749986695653668,Country A,NA,NA
6,6,4,2,5,35,15.877213737575486,6.842662799024453,Country A,NA,NA
7,4,9,5,5,52,20.464165489832048,10.97200004628216,Country A,NA,NA
4,5,6,5,7,42,17.853729690031294,6.159842098136861,Country A,NA,NA
5,4,2,3,3,44,12.680264363784033,0.30366547106418285,Country A,NA,NA
2,0,2,5,3,51,15.458909621565674,9.141439612286028,Country A,NA,NA
10,8,6,9,10,43,7.806355126468738,6.485080886064537,Country A,NA,NA
0,2,4,0,1,54,29.500854355873475,11.692450433979594,Country A,NA,NA
4,4,4,4,5,40,8.640976481136626,3.770078726148195,Country A,NA,NA
2,6,-0,-0,-0,51,24.185282506439517,7.570241631265685,Country A,NA,NA
4,5,2,7,4,36,11.387093809464137,6.645779141386447,Country A,NA,NA
3,2,3,3,1,48,19.127625428718012,9.883321394050865,Country A,NA,NA
3,-0,3,-0,2,49,10.216882990155097,5.177869378178395,Country A,NA,NA
7,6,6,7,3,42,11.091163887874195,4.668513417529041,Country A,NA,NA
5,5,5,6,3,41,12.45995483196511,6.837304957997718,Country A,NA,NA
5,9,7,3,7,46,16.2038211976053,8.008697915117239,Country A,NA,NA
8,6,7,6,8,48,12.902626762444967,8.81149569298519,Country A,NA,NA
2,2,0,1,1,49,17.05127617174993,7.377744226330842,Country A,NA,NA
5,7,5,4,4,46,13.690955521242547,9.828423934470585,Country A,NA,NA
5,4,5,6,6,36,10.927772844673084,5.444011100349385,Country A,NA,NA
6,4,3,5,6,43,19.598178698893378,9.808474987623004,Country A,NA,NA
3,3,1,6,4,45,18.513339083127388,6.098348687206516,Country A,NA,NA
10,8,10,10,10,33,4.954178953773663,3.0743166571412006,Country A,NA,NA
3,2,5,6,2,48,13.766372226352784,5.816056657607525,Country A,NA,NA
6,3,9,4,5,40,12.419242625214638,5.998514010369714,Country A,NA,NA
2,4,0,4,3,44,20.004738270753148,7.143942572342347,Country A,NA,NA
8,7,7,7,7,34,5.7830504336728925,4.438972193975275,Country A,NA,NA
2,3,3,5,4,57,21.043436892511526,8.610221668930798,Country A,NA,NA
-0,1,2,4,1,50,16.984629170694525,6.105824631030615,Country A,NA,NA
6,5,7,8,6,41,11.601369009785321,6.2329106638019045,Country A,NA,NA
6,6,7,9,7,44,21.50691012052975,11.864690162519052,Country A,NA,NA
6,7,7,4,6,40,11.51520527752308,4.953296141075629,Country A,NA,NA
10,8,9,10,8,45,2.8450018968655186,3.203549265717554,Country A,NA,NA
9,7,5,6,8,46,14.253412487730472,9.512242618033369,Country A,NA,NA
2,2,4,4,3,39,6.449520287221251,3.7885569318229546,Country A,NA,NA
3,0,4,5,5,37,14.323416431032376,6.825408183813481,Country A,NA,NA
9,8,5,6,6,34,4.0096757518715105,3.884471336529539,Country A,NA,NA
5,5,10,4,1,48,6.312742863901896,1.8170239721598396,Country A,NA,NA
4,6,5,6,5,39,15.53556179254372,4.717126358167498,Country A,NA,NA
2,2,2,5,3,33,16.03782773254572,3.904205604110059,Country A,NA,NA
0,0,5,6,6,48,21.544779069155506,8.589191562996485,Country A,NA,NA
0,1,0,-0,0,53,15.2996102808539,4.793373236865912,Country A,NA,NA
6,4,6,5,6,40,23.250617859567853,11.534267846382669,Country A,NA,NA
5,2,0,6,6,57,19.116333682280082,7.504117143103079,Country A,NA,NA
7,7,9,6,8,47,16.02742244979559,9.859407950536834,Country A,NA,NA
1,3,4,0,1,42,10.219933418945239,1.91545055124997,Country A,NA,NA
5,2,5,3,2,51,19.678758663158092,5.2972121388941735,Country A,NA,NA
